Pred. Values,New Pred. Values,Actual Values
35.91,34.18,42
28.58,26.86,26
38.95,41.54,40
15.52,11.34,13
42.36,43.95,39
35.36,36.49,40
34.08,37.34,29
16.18,12.72,7
28.28,27.85,34
37.74,38.35,42
18.15,17.42,21
24.68,24.08,34
33.93,32.49,32
32.21,32.46,28
28.47,30.75,42
24.8,23.94,47
15.65,15.74,11
35.95,36.67,34
39.13,40.5,38
37.98,39.15,43
28.42,24.74,25
30.16,29.0,19
35.53,36.65,46
18.43,13.37,9
16.09,14.93,8
26.95,27.51,33
37.03,38.87,43
30.81,31.54,42
15.8,12.88,4
35.84,36.63,31
34.05,32.49,40
20.12,16.49,16
39.26,41.21,43
36.31,36.46,33
35.72,35.2,46
14.56,13.58,11
26.03,21.89,20
34.31,35.51,49
31.04,32.06,34
36.51,37.41,32
37.99,39.11,49
15.87,14.06,10
31.34,32.69,34
29.94,31.51,26
26.23,25.39,29
16.97,12.3,13
29.0,28.42,33
15.23,14.41,20
41.16,45.18,46
44.42,48.79,52
40.01,40.36,41
38.5,39.62,30
31.66,31.57,40
33.68,33.53,41
33.6,34.11,28
28.77,29.85,28
35.54,38.04,46
34.46,35.52,34
33.57,34.95,34
19.77,18.26,22
32.7,31.83,28
15.71,13.82,8
29.28,30.27,35
16.31,11.97,19
14.84,12.63,10
17.47,14.37,10
32.11,33.64,35
31.74,34.13,29
19.24,18.5,20
21.9,21.44,14
33.23,32.22,35
19.83,19.16,25
35.33,35.09,22
26.94,28.96,31
19.31,19.84,24
15.98,13.0,9
29.17,29.91,23
30.89,29.54,32
34.75,33.42,36
31.43,31.8,31
25.27,26.83,31
30.42,30.84,29
27.85,28.83,23
31.88,33.28,24
31.9,31.93,28
32.68,33.86,30
23.74,22.68,20
28.51,29.63,21
36.85,34.88,34
20.28,16.6,25
36.22,38.68,39
34.99,36.17,23
32.27,31.37,31
36.82,37.25,40
18.78,18.77,17
29.69,31.42,32
31.21,32.59,34
35.48,34.67,36
29.4,31.6,20
26.31,24.48,31
16.87,15.36,12
16.05,13.53,16
36.57,34.72,36
29.2,30.44,33
30.1,31.87,33
34.19,32.84,31
34.89,37.14,36
36.9,39.11,62
26.4,28.47,34
36.33,36.77,28
16.31,13.68,11
38.24,41.81,25
14.57,13.02,10
29.72,29.13,32
21.56,18.61,17
37.59,37.9,36
35.51,36.5,26
34.13,33.94,33
36.14,37.7,37
26.35,24.91,32
34.73,33.59,35
38.35,36.08,31
30.65,31.5,41
28.52,24.86,31
40.3,40.33,36
33.9,35.75,47
30.17,29.95,26
15.7,12.57,12
33.22,34.32,37
38.65,40.42,28
34.98,35.86,31
28.24,27.92,33
21.67,18.68,42
35.43,36.3,32
24.22,24.78,27
30.49,31.89,30
32.87,33.2,38
15.61,12.73,13
37.97,38.77,38
33.93,32.09,28
23.65,23.56,26
30.3,30.34,27
32.39,33.56,34
35.9,36.72,49
25.81,24.92,27
26.37,25.92,25
28.17,30.06,24
31.03,33.43,32
31.12,32.79,27
14.78,11.83,8
34.28,32.58,24
34.02,33.12,34
27.66,28.63,36
36.0,35.29,37
14.28,11.84,12
37.78,36.88,43
27.75,27.74,31
15.3,13.08,8
33.26,33.82,41
36.3,35.39,25
37.24,35.99,33
38.43,39.5,28
44.31,48.66,69
30.27,28.53,25
38.04,37.04,34
35.05,36.37,28
19.54,15.45,11
36.1,35.33,36
25.44,22.12,14
32.46,33.59,28
26.87,26.44,36
35.27,36.13,37
38.97,39.26,33
16.4,14.5,20
16.44,14.48,13
34.62,33.86,19
35.6,35.26,29
20.4,16.8,27
37.15,38.11,30
36.63,36.77,21
21.87,20.17,19
25.28,25.84,27
33.18,34.45,39
32.19,33.78,33
15.0,12.55,16
30.49,32.38,38
23.11,19.61,19
33.04,33.66,24
30.77,33.03,34
37.11,39.96,48
41.46,46.44,52
16.64,12.69,7
34.37,33.38,28
14.65,11.84,9
23.83,23.73,30
31.45,32.33,31
40.63,42.62,55
37.06,35.92,31
32.4,35.26,28
26.35,27.28,27
28.72,30.17,31
29.34,28.54,27
33.28,34.0,21
15.06,13.51,5
20.53,20.44,29
34.63,34.64,31
33.16,34.47,32
36.3,37.11,43
33.55,34.12,28
16.65,12.6,10
22.8,22.66,30
30.78,33.21,31
15.04,11.18,6
35.56,38.92,42
32.58,31.23,41
27.53,24.32,22
21.92,21.63,28
29.11,29.63,32
38.36,38.71,44
38.09,37.31,43
21.31,21.14,19
36.9,38.17,52
25.12,25.2,27
38.39,41.06,52
22.01,19.22,19
28.94,29.43,29
17.1,16.47,17
31.91,33.84,32
31.46,30.9,23
17.52,14.82,10
27.19,29.79,24
19.64,20.9,16
18.12,17.05,26
37.43,38.28,41
33.4,32.71,31
32.96,32.16,27
30.1,28.77,30
30.89,32.18,35
21.35,18.45,17
20.85,20.93,30
35.25,35.38,36
16.22,14.02,19
38.09,37.21,45
28.59,29.14,33
30.65,29.65,22
37.94,40.74,57
21.22,18.03,14
35.4,35.28,27
34.53,35.59,25
31.46,32.55,39
40.4,43.78,62
14.72,12.63,11
23.96,23.1,24
29.77,30.18,28
19.94,17.02,25
16.07,15.23,11
24.63,20.78,29
29.46,27.73,25
17.91,13.59,16
33.59,32.85,36
35.6,34.24,31
23.73,23.61,28
21.27,19.82,14
30.53,33.53,35
34.93,35.46,32
30.12,29.75,28
37.67,37.15,36
33.46,33.78,22
19.67,19.33,23
30.29,31.36,35
31.49,31.03,22
39.04,40.63,35
35.74,35.02,24
31.66,29.23,29
40.08,42.02,32
35.17,35.49,26
22.29,23.04,17
39.27,41.23,43
23.35,21.49,24
27.45,28.54,25
14.97,12.62,15
33.47,32.37,16
28.03,24.07,29
39.48,42.27,29
32.08,31.75,23
29.53,28.42,27
35.17,35.04,35
34.98,35.44,34
31.89,30.29,30
32.89,32.91,30
34.92,37.39,23
16.75,12.44,12
42.51,45.61,41
31.94,32.87,30
31.14,33.9,31
33.06,32.66,37
34.55,35.44,34
31.13,30.09,38
14.37,11.73,11
28.48,29.45,45
43.75,47.01,39
35.23,35.3,26
34.25,35.59,49
22.24,19.99,8
17.44,15.15,19
17.53,16.13,22
21.66,18.96,17
31.22,30.83,33
31.5,32.2,26
33.4,32.05,28
28.43,24.78,23
34.47,33.47,29
27.95,27.54,30
38.02,38.99,44
17.16,16.37,15
35.27,35.66,33
33.62,33.78,36
34.36,37.14,41
16.53,13.31,10
34.08,33.21,36
32.01,31.13,16
31.63,30.23,23
28.93,29.25,36
25.51,25.7,33
34.93,35.58,31
19.65,16.03,16
17.46,15.41,8
32.17,33.85,37
17.07,12.81,15
35.57,36.58,39
38.31,38.63,29
42.38,45.46,49
14.04,11.81,19
22.59,21.06,25
35.54,35.72,42
45.15,52.13,45
37.0,38.07,51
34.16,34.66,28
43.61,47.28,37
41.96,45.86,50
30.39,31.53,31
31.52,34.22,23
31.93,33.57,40
38.25,40.42,41
17.87,13.92,11
14.88,12.36,12
23.42,23.28,32
17.66,13.95,13
16.09,12.79,12
21.54,21.17,18
29.28,29.38,32
29.0,28.93,31
26.03,20.98,17
38.1,38.46,42
39.01,40.03,39
19.83,15.14,14
26.74,27.72,30
32.07,30.68,27
36.24,37.08,36
31.12,30.91,31
31.1,32.05,38
42.73,46.28,63
32.08,30.88,27
32.32,33.86,40
29.8,29.75,26
25.73,26.4,21
21.54,18.93,22
36.63,35.47,33
21.14,20.34,32
22.16,21.69,28
25.81,26.71,23
34.05,35.1,32
32.24,32.64,32
36.05,35.17,45
22.92,19.8,17
31.76,33.04,22
18.5,14.34,17
40.61,42.99,43
18.3,16.9,17
26.45,24.17,28
32.03,33.63,15
18.97,18.6,23
21.83,22.28,17
20.94,21.14,18
27.55,27.83,27
15.27,12.48,13
23.52,20.16,12
25.02,25.65,20
37.51,40.72,40
34.6,35.05,42
32.57,31.84,22
20.65,20.43,23
29.07,30.1,32
34.25,32.57,48
16.6,15.17,20
17.1,15.58,13
31.04,29.93,36
35.99,36.61,31
32.59,33.68,33
34.26,34.72,45
31.84,30.16,34
14.33,11.72,6
29.4,27.38,24
30.33,31.77,40
33.73,34.03,37
29.62,30.62,42
34.68,35.01,37
24.65,24.14,29
36.25,38.92,30
28.79,29.89,22
23.04,20.79,11
27.8,27.63,24
19.24,14.37,21
31.12,32.96,32
30.63,31.39,31
30.07,29.22,35
33.47,36.1,38
34.56,36.33,50
34.71,36.74,53
17.75,14.05,13
30.55,30.27,40
34.08,36.12,31
34.04,31.38,18
29.03,28.92,38
24.03,24.34,22
37.26,38.37,25
20.32,19.63,19
25.25,23.88,23
27.2,27.88,35
16.32,12.69,11
38.63,39.55,43
14.52,12.34,7
35.57,35.96,31
31.6,33.15,26
38.4,40.1,38
31.32,32.96,41
46.04,50.55,48
33.12,33.18,30
17.77,15.71,23
34.25,33.33,37
25.1,27.8,23
33.81,32.76,40
24.34,22.49,27
14.4,12.98,19
32.37,30.83,20
16.27,12.63,15
32.98,32.64,38
30.68,33.36,31
33.29,32.09,40
17.88,18.07,13
36.94,37.81,36
29.43,28.71,24
16.1,13.42,18
32.99,34.72,26
36.56,38.01,37
29.68,29.92,31
29.29,27.51,30
36.02,36.47,40
18.5,15.93,20
15.79,13.83,13
15.84,12.79,9
17.3,15.24,12
27.77,27.91,36
33.24,34.81,30
37.91,38.73,41
30.82,27.9,29
31.49,31.06,33
30.0,32.3,27
16.31,13.21,12
32.21,33.66,21
15.41,12.84,4
35.71,35.0,23
43.75,46.75,53
35.1,34.82,38
28.25,28.61,38
18.14,17.21,34
33.76,33.42,24
29.28,29.96,22
36.56,36.55,34
17.54,15.17,9
47.25,53.99,46
34.92,36.45,30
30.45,28.84,36
39.13,40.05,37
41.1,39.53,35
37.2,37.63,44
21.05,18.41,17
27.77,27.91,33
31.01,29.3,34
36.99,37.23,36
37.22,37.49,63
34.08,35.43,30
33.79,34.9,34
18.73,14.49,9
34.42,32.15,41
25.75,27.39,29
29.1,28.59,27
41.41,42.86,25
25.71,26.39,26
38.35,38.37,37
41.54,43.42,70
35.83,35.98,38
16.03,14.49,11
22.26,22.37,23
17.63,15.16,13
26.93,21.9,11
36.59,35.23,25
12.34,9.16,17
33.24,33.75,35
29.09,26.97,19
15.02,13.52,11
25.14,24.65,28
35.04,34.7,27
34.89,35.91,38
35.1,38.17,35
29.73,32.11,32
34.36,33.13,32
32.09,32.44,33
31.56,30.53,31
13.4,9.42,10
29.27,28.95,24
36.54,36.46,37
33.48,33.28,35
18.19,15.95,7
37.5,39.91,34
36.33,37.58,32
38.33,41.06,45
38.13,38.03,38
27.74,27.81,29
36.08,35.24,25
37.0,35.84,36
23.61,22.28,13
17.57,13.82,5
33.27,32.16,26
38.93,41.09,43
31.87,33.69,36
31.44,32.39,26
35.17,36.89,28
29.72,30.07,22
44.0,48.28,53
15.55,12.4,11
36.64,39.17,43
36.35,36.09,35
32.21,32.96,32
20.44,18.19,19
35.0,35.22,25
33.55,34.22,46
30.37,29.66,28
27.04,28.79,28
24.45,25.08,34
33.69,34.18,35
33.93,34.8,27
23.28,20.13,16
32.62,32.3,34
17.29,16.43,14
34.32,34.01,28
33.49,33.8,34
33.06,32.16,43
14.96,12.09,14
22.79,21.88,19
17.47,15.74,15
37.48,35.11,29
49.99,55.36,62
33.8,31.51,34
41.12,41.37,40
30.0,30.41,14
15.53,12.99,10
36.9,39.04,33
35.49,34.38,21
35.7,37.55,41
31.52,31.23,24
32.96,32.87,46
16.47,17.41,18
19.34,14.02,13
30.22,30.18,48
26.13,26.6,23
15.77,13.7,11
26.76,23.73,17
30.07,31.37,22
22.83,19.84,18
27.24,23.73,32
33.49,33.86,31
31.92,30.91,37
16.84,12.65,14
39.56,43.63,54
44.11,46.67,54
32.76,34.99,38
28.55,28.59,30
16.01,13.46,13
18.17,14.68,9
35.57,34.35,39
30.83,29.82,38
21.52,19.2,17
20.46,20.29,22
23.92,20.89,32
31.55,32.04,41
15.34,13.89,13
33.07,34.16,34
17.0,15.15,14
37.73,39.68,37
17.56,13.63,8
30.44,30.29,22
25.21,25.41,33
34.49,34.96,40
20.65,20.73,20
21.21,22.51,11
34.81,33.55,34
30.57,28.83,25
32.52,32.77,28
38.34,34.93,32
29.46,30.17,42
26.42,27.42,31
32.73,32.29,21
26.49,26.12,24
28.8,32.1,30
20.39,20.69,28
41.31,43.57,41
31.72,32.19,31
29.97,30.21,32
27.13,24.01,30
15.69,11.85,11
38.43,38.13,28
20.98,17.14,14
17.16,16.15,8
36.07,36.53,40
32.35,31.28,33
34.97,36.12,29
34.23,33.8,41
37.0,38.22,40
36.42,36.16,35
42.5,46.52,33
20.25,15.17,17
32.24,31.53,39
19.25,14.77,16
27.53,28.15,25
30.55,29.51,29
31.51,29.66,25
33.42,33.46,19
37.87,39.9,42
33.91,35.73,37
24.69,21.15,22
39.41,42.39,37
39.85,42.0,37
21.0,18.43,19
27.1,25.18,24
28.63,28.05,30
15.34,14.18,18
31.93,32.85,39
32.69,31.96,28
34.86,36.32,34
19.06,18.86,22
32.56,34.29,37
23.71,22.46,27
18.25,13.76,14
27.12,29.24,32
29.62,28.87,32
32.11,31.72,26
25.22,26.45,15
35.43,34.86,46
34.3,34.49,40
33.57,33.42,28
26.7,27.3,25
33.92,32.96,39
17.96,17.4,13
47.16,50.79,62
32.51,34.47,43
33.29,35.14,35
29.01,29.31,24
36.19,36.62,39
36.35,36.25,39
17.51,14.34,10
14.52,10.09,12
34.19,34.22,34
20.07,19.35,22
32.87,34.13,38
21.32,18.11,16
32.64,32.77,36
34.49,33.62,36
20.47,17.91,14
37.81,36.64,31
27.74,28.2,30
15.55,13.85,11
31.07,31.15,30
29.92,30.91,27
14.36,12.26,9
30.93,30.42,29
31.21,30.35,30
21.86,22.84,28
31.04,29.5,38
34.23,34.97,26
15.88,15.08,9
32.23,31.96,27
25.75,23.04,18
15.76,12.93,9
32.11,34.42,31
32.32,33.78,32
36.11,34.91,32
18.59,14.97,6
37.08,39.94,33
32.87,35.28,29
34.13,34.36,29
15.63,12.57,9
14.8,12.34,12
13.06,10.11,16
28.25,29.04,29
32.08,31.45,42
39.17,41.07,45
14.73,13.88,7
30.96,31.91,34
14.27,11.87,6
32.23,34.37,25
35.67,37.8,37
17.32,17.24,16
36.94,36.16,43
18.33,14.68,19
28.72,26.57,43
36.7,37.09,46
15.49,12.41,8
20.02,20.75,20
32.02,33.03,41
35.42,36.85,37
36.26,37.79,38
15.36,12.84,12
37.16,38.14,33
31.41,30.92,27
34.1,34.41,33
15.23,11.48,8
25.5,21.15,14
15.33,12.7,10
30.89,30.75,38
21.28,17.52,14
29.73,30.47,27
16.52,14.07,7
33.39,33.2,37
30.51,25.88,33
39.13,41.73,35
20.57,20.88,18
29.53,29.46,27
30.11,28.72,22
33.19,34.11,39
30.09,29.48,24
35.56,36.23,37
20.46,18.04,24
17.28,14.05,7
41.28,40.79,43
36.39,35.12,37
27.33,27.74,29
37.5,38.51,35
18.57,14.86,19
21.35,17.73,4
34.51,34.31,35
34.0,35.81,26
15.45,12.6,16
35.22,36.04,35
33.89,33.45,35
29.89,29.71,22
22.5,20.7,25
15.85,14.28,13
30.45,30.71,28
34.27,33.11,25
25.85,24.06,21
17.08,13.5,15
22.06,18.65,25
27.12,25.48,30
17.92,16.03,14
32.31,30.31,27
33.14,33.46,39
25.02,25.49,24
31.92,31.49,40
19.87,20.23,22
