epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
1,9.175674438476562,190.48301696777344,5.214325904846191,46.74460983276367
2,5.556818962097168,54.3485107421875,5.170320987701416,45.04926681518555
3,5.4156904220581055,51.607242584228516,5.085422992706299,43.448421478271484
4,5.346595287322998,50.2601203918457,5.097667217254639,43.23723220825195
5,5.310638904571533,49.389610290527344,4.9626851081848145,42.571136474609375
6,5.261469841003418,48.564537048339844,5.1490888595581055,43.50809860229492
7,5.155089855194092,46.48516082763672,4.982799530029297,41.863250732421875
8,5.087884902954102,45.413963317871094,4.95249605178833,41.313865661621094
9,5.038235187530518,44.94856643676758,4.938464641571045,40.91435241699219
10,5.013132572174072,44.83332824707031,4.986299514770508,41.81174850463867
11,4.9702253341674805,43.60343551635742,5.05306339263916,42.37983703613281
12,4.898708343505859,42.680824279785156,4.9650397300720215,41.832271575927734
13,4.866281509399414,42.31433868408203,4.985723972320557,41.61958312988281
14,4.792658805847168,41.11115264892578,4.990000247955322,41.77617645263672
15,4.767028331756592,40.59587860107422,5.062682151794434,42.48934555053711
16,4.68694543838501,39.458839416503906,5.060105323791504,43.15718078613281
17,4.659808158874512,38.995880126953125,5.1129584312438965,43.92805099487305
18,4.602480888366699,38.44456481933594,5.146705150604248,44.190155029296875
19,4.545752048492432,37.469085693359375,5.178499221801758,44.427982330322266
