epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
1,11.793670654296875,273.3663024902344,5.039299964904785,43.073280334472656
2,5.931600093841553,59.59747314453125,4.918702125549316,40.84867858886719
3,5.7782883644104,56.70158386230469,4.893924713134766,40.52962875366211
4,5.707264423370361,54.81332778930664,4.892094612121582,40.51084899902344
5,5.608577251434326,53.628440856933594,4.868239879608154,40.09394454956055
6,5.525129795074463,52.245399475097656,4.8678178787231445,40.0133056640625
7,5.505185127258301,51.4738655090332,4.877086162567139,40.1820068359375
8,5.416628360748291,50.20463180541992,4.857269763946533,39.98728942871094
9,5.3570237159729,49.132389068603516,4.8466339111328125,39.53354263305664
10,5.321242332458496,48.7637825012207,4.835556983947754,39.4744873046875
11,5.282581329345703,48.10556411743164,4.8209052085876465,39.333133697509766
12,5.233129024505615,47.16670608520508,4.808746337890625,39.02865982055664
13,5.201714038848877,46.328948974609375,4.82365083694458,39.46071243286133
14,5.158365726470947,45.72857666015625,4.806900501251221,39.14228820800781
15,5.156898498535156,45.77622985839844,4.819716453552246,39.320152282714844
16,5.155979633331299,45.34783935546875,4.828500747680664,39.35325622558594
17,5.092191696166992,44.965721130371094,4.803106307983398,38.84309387207031
18,5.087255001068115,44.93675231933594,4.806768417358398,38.98638916015625
19,5.0587849617004395,43.900978088378906,4.795134544372559,39.0928840637207
20,5.037233829498291,43.880401611328125,4.805464267730713,39.212120056152344
21,5.001430034637451,43.222816467285156,4.796949863433838,38.968746185302734
22,5.0161824226379395,43.450355529785156,4.796884059906006,38.87413787841797
23,4.98374605178833,42.739051818847656,4.807918548583984,39.160160064697266
24,4.9881439208984375,43.27510452270508,4.791771411895752,38.829593658447266
25,4.961090087890625,42.46330261230469,4.839018821716309,39.618492126464844
26,4.950284481048584,42.5230827331543,4.813737392425537,39.29558181762695
27,4.909296989440918,41.71332931518555,4.798350811004639,39.245418548583984
28,4.937016010284424,42.20418167114258,4.785074710845947,39.00837326049805
29,4.903621673583984,42.09115982055664,4.82420539855957,39.63561248779297
30,4.908989429473877,41.74443817138672,4.792836666107178,38.93085861206055
31,4.881245136260986,41.47690200805664,4.805386543273926,39.188133239746094
32,4.896825313568115,41.413665771484375,4.787846565246582,38.85615158081055
33,4.8802995681762695,41.475914001464844,4.825754642486572,39.558040618896484
34,4.850622653961182,40.99319076538086,4.828813076019287,39.671875
35,4.833876132965088,40.65962219238281,4.839642524719238,39.77171325683594
36,4.831188201904297,40.72213363647461,4.819546699523926,39.38807678222656
37,4.850521564483643,41.05915451049805,4.837713718414307,39.66301345825195
38,4.822160720825195,40.68543243408203,4.836280345916748,39.61128234863281
