Pred. Values,New Pred. Values,Actual Values
40.0,37.94,42
25.0,29.69,26
28.0,41.15,40
13.0,16.77,13
31.0,47.85,39
49.0,41.15,40
50.0,33.41,29
7.0,12.83,7
32.0,32.81,34
28.0,41.15,42
25.0,22.79,21
23.0,32.81,34
37.0,32.81,32
33.0,31.62,28
45.0,32.81,42
35.0,32.04,47
9.0,12.83,11
49.0,37.96,34
21.0,41.15,38
40.0,45.62,43
22.0,26.55,25
31.0,32.84,19
36.0,34.56,46
7.0,13.87,9
7.0,12.83,8
25.0,26.34,33
27.0,39.64,43
23.0,32.81,42
12.0,12.83,4
34.0,33.46,31
39.0,33.41,40
9.0,16.77,16
44.0,39.64,43
28.0,35.92,33
44.0,36.55,46
13.0,12.83,11
15.0,26.55,20
23.0,32.84,49
29.0,32.81,34
29.0,32.25,32
48.0,47.85,49
15.0,12.83,10
38.0,40.7,34
30.0,24.6,26
40.0,28.93,29
18.0,12.83,13
37.0,32.81,33
13.0,12.83,20
33.0,39.64,46
59.0,52.39,52
40.0,41.15,41
31.0,33.41,30
20.0,29.69,40
46.0,40.7,41
45.0,34.56,28
34.0,31.59,28
36.0,41.15,46
28.0,34.47,34
37.0,32.84,34
14.0,16.77,22
35.0,32.84,28
8.0,12.83,8
30.0,31.59,35
13.0,16.77,19
18.0,12.83,10
13.0,13.87,10
35.0,32.81,35
40.0,32.81,29
31.0,22.79,20
24.0,24.6,14
31.0,32.25,35
28.0,22.79,25
39.0,37.43,22
34.0,29.55,31
28.0,22.79,24
12.0,12.83,9
26.0,29.55,23
35.0,32.84,32
22.0,34.56,36
36.0,35.92,31
36.0,32.04,31
29.0,37.96,29
26.0,31.59,23
31.0,34.56,24
29.0,34.56,28
39.0,31.1,30
19.0,24.6,20
30.0,30.03,21
35.0,34.47,34
19.0,16.77,25
23.0,37.96,39
40.0,33.41,23
41.0,34.56,31
35.0,37.96,40
31.0,22.79,17
38.0,34.56,32
33.0,33.41,34
23.0,32.84,36
34.0,26.34,20
29.0,26.55,31
6.0,12.83,12
10.0,12.83,16
22.0,35.92,36
31.0,32.81,33
35.0,32.81,33
29.0,40.7,31
36.0,26.55,36
47.0,47.85,62
41.0,32.81,34
27.0,33.46,28
17.0,12.83,11
27.0,41.36,25
15.0,12.83,10
30.0,31.59,32
23.0,16.77,17
50.0,37.96,36
49.0,41.15,26
30.0,36.55,33
20.0,32.81,37
34.0,32.81,32
43.0,34.47,35
50.0,37.43,31
38.0,37.96,41
20.0,26.55,31
35.0,32.25,36
50.0,37.96,47
32.0,34.47,26
20.0,12.83,12
39.0,32.81,37
37.0,40.7,28
35.0,34.56,31
28.0,29.55,33
11.0,18.63,42
23.0,37.43,32
33.0,32.04,27
29.0,30.03,30
32.0,31.1,38
8.0,12.83,13
49.0,37.96,38
31.0,29.69,28
21.0,24.6,26
30.0,31.59,27
29.0,32.81,34
53.0,39.64,49
32.0,26.34,27
28.0,26.34,25
35.0,31.59,24
31.0,31.1,32
40.0,31.1,27
19.0,12.83,8
26.0,37.43,24
40.0,41.15,34
33.0,31.59,36
32.0,40.7,37
8.0,12.83,12
37.0,36.55,43
37.0,32.81,31
17.0,12.83,8
47.0,36.55,41
33.0,41.15,25
23.0,37.43,33
32.0,40.7,28
69.0,57.31,69
20.0,26.55,25
49.0,36.55,34
22.0,34.56,28
8.0,13.87,11
29.0,31.62,36
16.0,19.28,14
28.0,32.81,28
26.0,32.81,36
41.0,36.55,37
50.0,41.15,33
15.0,18.16,20
17.0,12.83,13
33.0,34.47,19
32.0,36.55,29
16.0,16.77,27
44.0,37.96,30
